Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""I'm so scared, I've got these cracks at the corners of my mouth that won't go away, it's so painful and itchy, I'm so worried I'll get an infection.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Informal Register,Fearful,1,False,True,True
" ""I got these cracks at the corners of me mouth, an' I'm too scared to go out an' get help, I'm too scared to even look in the mirror, I'm so ashamed of meself, I'm so ashamed.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Vulgar Register,Fearful,2,False,True,True
" ""I am fed up with this bloody cracking at the corners of my mouth, it is so annoying and I cannot stand it anymore.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Formal Register,Insulting,3,False,False,True
" ""I have been experiencing a cracking at the corners of my mouth for a while now, but I thought it was just a result of aging. However, I have noticed that it has become more severe and I am worried that it might be a sign of something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Formal Register,Confused,2,False,True,True
" ""I am fed up with this cracking at the corners of my mouth. It has been going on for months now.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Formal Register,Angry,2,False,False,False
" ""My mouth corners crack and peel, a map of my hunger's trail.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Poetic/Literary Register,Friendly,1,False,True,False
" ""I'm tellin' ya, doc, I got this crackin' in the corners of my mouth that won't go away. It's been there for weeks now, and it's gettin' worse. I tried everythin' I could think of to get rid of it, but nothin' works. I'm gettin' so frustrated I could scream. I just want it to go away already!""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Vulgar Register,Angry,4,False,True,False
" ""Dryness and cracking at the corners of my mouth, which bleeds and itches, making it difficult to eat and talk.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Poetic/Literary Register,Neutral,3,True,False,False
" ""I have been having difficulty swallowing for the past few days, and it has been getting worse and worse. At first, I thought it was just a cold, but now I am having trouble swallowing even liquids. I have been trying to eat soft foods, but even those are getting stuck in my throat. I am worried that I might choke on something and end up in the hospital again.""",Difficulty Swallowing,Severity,Very severe,Formal Register,Confused,5,False,False,False
" ""I am having a most unpleasant experience with my swallowing. It is as if my food is stuck in my throat and I cannot get it down. It is most embarrassing and I am not in the mood for it. I hope this passes soon.""",Difficulty Swallowing,Severity,Not sexually active,Formal Register,Insulting,4,False,True,True
