,Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
0," ""I have pain and swelling at the injection site.""",Pain and swelling at injection site,Presence/Absence,Not sexually active,Neutral/Standard Register,Confused,2,False,False,False
1," ""I'm surprised I got a shot in the first place, now I'm in pain and my arm is swollen.""",Pain and swelling at injection site,Presence/Absence,Prefer not to answer,Neutral/Standard Register,Insulting,1,False,False,False
2," ""My arm is all puffy and achy at the spot where the needle went in, and it hurts so bad I can't even sleep on it, but I don't remember getting a shot.""",Pain and swelling at injection site,Presence/Absence,Not applicable,Poetic/Literary Register,Confused,4,False,False,True
3," ""I've got this really sore and swollen lump on my arm where I got the injection.""",Pain and swelling at injection site,Presence/Absence,No,Informal Register,Friendly,3,False,False,True
4," ""My arm is on fire and feels like it's been hit by a sledgehammer.""",Pain and swelling at injection site,Presence/Absence,Yes,Poetic/Literary Register,Neutral,4,False,False,False
5," ""I'm sick and tired of bleeding from my nose all the time.""",Nosebleed,Frequency,Almost constantly,Formal Register,Insulting,1,False,True,False
6," ""I'm so scared, I've been having these nosebleeds for a few days now and they're getting worse and worse. I'm so scared I'm gonna die from this, I can't even sleep at night because I'm so scared I'll wake up with another one. I've tried to stop it from bleeding by pinching my nose but it just won't stop. I'm so scared, I don't know what to do.""",Nosebleed,Frequency,Very severe,Vulgar Register,Fearful,5,False,True,False
7," ""I've been having nosebleeds almost constantly for the past month.""",Nosebleed,Frequency,Almost constantly,Neutral/Standard Register,Friendly,2,False,True,False
8," ""I'm so sick of bleeding from my nose all the time.""",Nosebleed,Frequency,Not sexually active,Neutral/Standard Register,Insulting,1,False,False,False
9," ""I have been experiencing almost constant nosebleeds for the past month now.""",Nosebleed,Frequency,Almost constantly,Formal Register,Angry,4,False,True,False
10," ""I have been experiencing occasional nosebleeds for the past month.""",Nosebleed,Frequency,Prefer not to answer,Formal Register,Fearful,2,False,False,False
