,Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
0," ""My mouth is cracking at the corners, it's like a spider web of fine lines spreading across my lips, and it's so painful when I smile or talk, it feels like my skin is splitting open, and I can't stop picking at it, it's so itchy and uncomfortable, and I'm so worried that it's a sign of something serious, like cancer or AIDS, I've been researching it online and I'm so scared, I can't sleep at night because I'm so worried about it, and I'm so embarrassed to show my mouth to anyone, I feel so ugly and ashamed, and I just want it to go away, please help me, I'm so scared and alone with this.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Very severe,Poetic/Literary Register,Confused,5,False,False,True
1," ""I got these cracks in the corners of my mouth, and I don't know what the hell is goin' on. I mean, I ain't never had no cracks in my mouth before. I been eatin' the same foods, and I ain't never had no problems with my teeth or nothin'. But now I got these cracks, and I don't know what the hell to do. I mean, I been tryin' to take care of myself, but I ain't never had no cracks in my mouth before. I mean, I ain't never had no problems with my teeth or nothin'. But now I got these cracks, and I don't know what the hell to do. I mean, I been tryin' to take care of myself, but I ain't never had no cracks in my mouth before. I mean, I ain't never had no problems with my teeth or nothin'. But now I got these cracks, and I don't know what the hell to do. I mean, I been tryin' to take care of myself, but I ain't never had no cracks in my mouth before. I mean, I ain't never had no problems with my teeth or nothin'. But now I got these cracks, and I don't know what the hell to do. I mean, I been tryin' to take care of myself, but I ain't never had no cracks in my mouth before. I mean, I",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not sexually active,Vulgar Register,Confused,4,True,False,False
2," ""Dry mouth, Cracks at the corners of the mouth, Redness of the tongue, White patches on the tongue and cheeks, Difficulty swallowing, Chest pain, Fatigue, Shortness of Breath, Dizziness, Irregular Heartbeat, Cold Hands and Feet, Headaches, Constipation, Nausea, Vomiting, Loss of Appetite, Weight Loss, Joint Pain, Muscle Pain, Joint Swelling, Joint Stiffness, Skin Dryness, Itching, Hair Loss, Constipation, Blurred Vision, Eye Dryness, Eye Discharge, Ear Infections, Ear Discharge, Tinnitus, Hearing Loss, Taste Changes, Smell Changes, Memory Loss, Depression, Anxiety, Sleep Disturbances, Loss of Libido, Decreased Sexual Function, Urinary Tract Infections, Urinary Incontinence, Vaginal Dryness, Vaginal Infections, Decreased Fertility, Increased Risk of Pregnancy Loss, Increased Risk of Preterm Birth, Increased Risk of Low Birth Weight Babies, Increased Risk of Infant Mortality, Increased Risk of Autoimmune Diseases, Increased Risk of Infections, Increased Risk of Cancer, Increased Risk of Chronic Diseases, Increased Risk of Death.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Prefer not to answer,Poetic/Literary Register,Confused,3,True,False,False
3," ""I'm always tired and weak, and my skin is pale as hell. I get out of breath easily, and I feel dizzy all the time. My heart beats irregularly, and I get chest pains. My hands and feet are always cold, and I get headaches all the time. Oh, and I have this weird cracking sound at the corners of my mouth. It's so annoying, and it's been going on for months now. I'm so sick of it, and I just want it to go away already.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,None,Informal Register,Insulting,4,True,True,False
4," ""I have been having this problem for a while now, but I thought it was just because I was stressed out. But now I am worried that it might be something more serious.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Not applicable,Neutral/Standard Register,Fearful,3,False,False,True
5," ""I'm so sick of this mouth cracking all the time. It's been happening for months now and I just can't take it anymore. It's so annoying and embarrassing. I try to keep my mouth moist by drinking water and eating moist foods but it doesn't seem to help. I even tried applying lip balm but it only makes it worse. I just want this to go away already.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Moderate,Neutral/Standard Register,Angry,5,False,False,False
6," ""I got these cracks at the corners of my mouth, and it's been like this for a while now. It's really annoying, and it hurts like hell when I eat something salty or sour. I've tried to moisturize my lips, but it doesn't seem to help. I've also tried to stop licking my lips, but I keep doing it without realizing it. I'm really worried that it's going to get worse.""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Mild,Vulgar Register,Friendly,5,True,False,False
7," ""I got these cracks in the corners of my mouth and it's driving me fukin crazy! It's so annoying and it hurts like hell! I tried every fukin thing I could find on the internet but nothing worked! I even tried those expensive lip balms but it didn't do shit! I'm so angry and frustrated right now! I just want to get rid of these cracks already!""",Cracking at the corners of the mouth (cheilosis/cheilitis),Severity,Severe,Vulgar Register,Angry,5,True,False,True
8," ""I have difficulty swallowing food and liquids. It feels like there is a lump in my throat and it gets stuck there. I have to swallow several times before it goes down. Sometimes it gets stuck in my esophagus and I start coughing. It feels like I am choking. I have to sit up straight and cough several times before it goes down. It is very frustrating and embarrassing. I am always worried that I might choke while eating or drinking. It affects my appetite and I don't eat as much as I used to. I am always worried that I might choke while eating or drinking. It affects my appetite and I don't eat as much as I used to.""",Difficulty Swallowing,Severity,Very severe,Neutral/Standard Register,Insulting,5,True,True,True
9," ""My throat feels like a desert, dry and parched, making it difficult for me to swallow.""",Difficulty Swallowing,Severity,Not sexually active,Poetic/Literary Register,Friendly,2,False,False,False
